CustomerID,Tenure,MonthlyCharges,TotalCharges,Usage,Complaints,ContractType,PaymentMethod,CustomerServiceCalls,Age,Churn
63,14,96.92231478381336,6606.06259023337,290.38429180721084,2,Month-to-Month,Mailed Check,6,44,1
64,48,82.46635688542638,6583.499670057557,464.3817106027462,5,One Year,Electronic,6,43,1
65,15,58.19396396528959,3871.06814516697,248.37171400299223,5,Month-to-Month,Credit Card,3,54,1
66,72,40.568726219555515,2871.470963746623,421.4727412280986,4,Month-to-Month,Bank Transfer,7,62,0
67,62,32.138641815940645,2964.222392816847,222.9433099299039,4,Two Year,Electronic,6,45,1
68,40,81.50129680388666,6465.144752778921,354.29177288391264,4,Month-to-Month,Mailed Check,1,67,1
69,53,97.4633780637788,2692.617914101135,365.93636864325043,0,Month-to-Month,Mailed Check,7,19,0
70,24,84.39042535411306,1751.5690522840835,86.98185295166932,2,Two Year,Electronic,8,37,0
71,26,73.03021332491583,769.0379008149239,180.6080294879059,2,Month-to-Month,Bank Transfer,4,21,1
72,60,24.195122343163625,3786.8756549868262,318.651078269012,4,One Year,Electronic,3,30,0
73,41,116.84887775943838,3908.843581466751,35.34830409218309,3,Month-to-Month,Electronic,3,41,1
74,29,99.87141916545745,6743.178812182967,180.7700938814783,0,Month-to-Month,Credit Card,3,65,1
75,15,49.28220367009648,1847.7857019239054,267.39973314059625,3,Month-to-Month,Electronic,5,55,1
76,45,117.99703293588506,3109.831061980359,498.1122465223193,1,Month-to-Month,Credit Card,3,57,0
77,65,80.18815896363222,6486.405337260158,237.26678131122037,2,Month-to-Month,Bank Transfer,6,65,1
78,71,78.24226582072464,6606.626524916891,408.0283785571618,2,One Year,Electronic,6,62,0
79,9,94.8073179429532,3138.427500232269,216.03364253330886,3,One Year,Electronic,4,72,1
80,1,101.17697880901376,3727.079783964779,398.19536130985443,0,Two Year,Mailed Check,4,46,0
81,8,85.64786073315027,2495.958537709335,297.7074008100542,2,Month-to-Month,Electronic,9,53,1
82,63,32.80957463662,7467.183539512565,443.29772075119917,3,One Year,Mailed Check,7,19,0
83,11,53.82675059944984,1037.2857493584843,205.47127617505495,5,One Year,Mailed Check,6,58,1
84,8,112.80836403260497,7476.620441711613,302.15220991073943,5,Two Year,Mailed Check,6,35,1
85,35,42.46156118438519,5502.544969499211,315.0093403094137,6,Month-to-Month,Bank Transfer,5,66,0
86,35,57.21670238375133,4299.420006225177,208.69147090023665,0,One Year,Credit Card,6,25,0
87,33,63.2076882944196,358.0065801975174,72.15602184374076,3,Two Year,Mailed Check,6,32,1
88,5,63.940498969445215,3857.2099153938657,46.77970345616777,6,Month-to-Month,Electronic,9,58,1
89,41,81.29395824945254,3321.210029521585,8.33577529981655,5,Two Year,Electronic,1,34,0
90,28,114.30758377447076,1373.6286146034681,436.76713212260734,0,Month-to-Month,Mailed Check,9,40,1
91,7,44.06927118325049,5285.63586765519,118.23745611934727,7,One Year,Mailed Check,1,19,0
92,72,32.150137630091805,7772.092168209458,105.75337464088402,6,Two Year,Electronic,9,23,1
93,12,39.74704898599373,4541.291607409748,368.01770021303275,7,One Year,Mailed Check,6,46,1
94,34,108.69249002092695,5746.550883907172,160.0080565436959,4,Month-to-Month,Credit Card,9,44,1
95,33,84.5810812655206,640.7585752715325,253.0223462059183,0,Month-to-Month,Credit Card,6,54,0
96,48,48.590678923916016,3399.569266954258,81.25553264872815,1,Two Year,Bank Transfer,6,66,1
97,23,101.59469389686173,1019.2320327995174,479.8728607309846,4,Month-to-Month,Mailed Check,4,51,1
98,62,106.1369996363436,4941.087100738432,425.79070000861867,6,Month-to-Month,Bank Transfer,0,35,0
99,37,104.6514338690278,7514.009049891822,431.89481148250167,3,One Year,Bank Transfer,1,59,0
100,44,111.89265336395545,5328.044086525944,203.3868742860026,4,Month-to-Month,Bank Transfer,8,27,1
101,35,45.22410201733616,706.7440816839301,381.1806068535864,4,Month-to-Month,Mailed Check,7,55,1
102,65,95.50419287462783,2901.8630193821546,71.93807769489008,6,Month-to-Month,Bank Transfer,7,61,0
103,47,66.053949727414,4450.240697582727,4.309501295890139,3,Month-to-Month,Credit Card,9,34,0
104,3,104.19985528900615,3285.3412734526923,9.986466289014063,3,One Year,Bank Transfer,0,30,0
105,1,92.84906771616131,6685.787682753861,293.30086870228024,5,One Year,Credit Card,5,69,0
106,5,97.64474464997247,6535.900937208915,227.6974526239704,1,One Year,Credit Card,8,65,1
107,14,85.61618376810715,4933.465058815449,259.00767445425987,3,Two Year,Mailed Check,7,59,1
108,27,37.74287694697068,3050.3177665483713,3.7315702086097025,2,Two Year,Bank Transfer,2,44,0
109,9,74.50269188969384,2117.1573527296287,211.34330982871285,2,One Year,Mailed Check,3,70,1
110,15,118.46697395245081,936.4071138837215,359.0340806004304,1,Month-to-Month,Credit Card,2,19,1
111,42,113.73880664971189,2903.691699543777,221.34685098371793,0,One Year,Electronic,5,51,1
112,51,24.31737357970117,3364.0628859409844,366.1096031561111,6,Month-to-Month,Bank Transfer,8,48,0
113,63,36.481481572943714,5439.001108322182,116.50948219841739,0,One Year,Mailed Check,7,40,0
114,52,33.17287734545619,5299.46261195083,406.57100224086275,2,One Year,Electronic,9,24,0
115,4,92.59799099852955,653.8543031659299,294.2156202267262,3,Month-to-Month,Bank Transfer,3,55,1
116,23,101.77853298569451,3222.5485919061466,105.38154971495311,1,Two Year,Bank Transfer,1,50,1
117,15,41.35113663106719,1536.053051017159,118.36023792691647,0,Month-to-Month,Mailed Check,7,29,1
118,43,70.5852692951829,1338.820372002765,314.0152322847685,0,One Year,Electronic,7,62,0
119,29,104.07030280112,6635.686982924242,414.9697966062217,7,Month-to-Month,Mailed Check,5,29,1
120,36,93.28015447662506,431.1302120584345,207.8138910145776,6,Two Year,Bank Transfer,7,36,1
121,13,74.22372054918483,3411.5447196267587,129.1502145637961,4,Month-to-Month,Bank Transfer,8,26,1
122,32,79.03476904587728,1428.8088805554937,433.5058034553002,2,Month-to-Month,Credit Card,0,27,0
123,71,70.836054691628,7046.708703859945,334.63414587541746,3,Month-to-Month,Bank Transfer,8,34,0
124,59,49.75484513188206,4500.6200548727775,224.04274364153827,1,Month-to-Month,Bank Transfer,1,67,0
125,28,76.50219928590161,1927.9070273770994,243.95009763965092,0,Month-to-Month,Electronic,0,57,1
126,66,88.88853020500906,4069.175568614374,102.1282339681982,6,One Year,Electronic,7,56,1
127,42,107.33229158608077,5878.742241654615,313.40131503242196,4,Month-to-Month,Credit Card,7,58,1
128,45,83.62913539792481,7669.132270463527,179.3712552714443,2,Month-to-Month,Credit Card,3,27,1
129,62,96.1121537043158,1841.5234335388095,497.82258833717464,2,Month-to-Month,Credit Card,7,29,1
130,57,36.0071634954573,7100.835999821827,240.09175763094393,6,Two Year,Mailed Check,6,32,1
131,6,66.15574744197899,7481.002501923173,242.94280309480658,7,One Year,Mailed Check,1,48,1
132,28,20.93316198270933,7339.722301803323,282.92589370533597,1,One Year,Credit Card,4,32,1
133,28,44.66788645216231,5119.7734192090875,458.3780015593734,0,One Year,Mailed Check,9,45,1
134,44,92.64617151130048,5075.5831700341905,400.40904992987515,1,Month-to-Month,Bank Transfer,3,21,0
135,30,119.18099513493634,3285.3640021522,225.56503489892071,6,Month-to-Month,Credit Card,2,53,0
136,62,29.91780995872159,6043.943270199924,359.349632986398,6,Month-to-Month,Credit Card,0,72,0
137,62,60.14943158612883,4297.222744972362,293.1177493903808,1,Two Year,Mailed Check,4,18,1
138,1,100.00709686991596,5451.760762703526,246.18352435062445,5,Two Year,Electronic,9,61,1
139,27,40.403563462889885,3484.817440405484,96.15788639217526,4,Month-to-Month,Credit Card,7,74,0
140,62,75.50849493022862,5878.822065940799,231.96813172744547,2,Month-to-Month,Mailed Check,8,51,1
141,3,93.30712960296748,6613.324989075938,122.90929351128732,5,Month-to-Month,Mailed Check,6,64,0
142,70,81.5985450260179,1256.8464271622474,457.4210749258273,3,Month-to-Month,Electronic,0,34,0
143,72,38.80247346154161,6680.144753036401,167.70340674817348,2,One Year,Credit Card,0,56,0
144,27,55.538456868573945,4368.342601143427,476.1320072666861,2,Month-to-Month,Electronic,0,55,0
145,9,98.37917844853972,6772.860681812772,266.5276450473556,4,Two Year,Bank Transfer,1,61,0
146,62,75.42265141320166,3507.2834800940154,315.7721893380802,3,Month-to-Month,Electronic,0,68,0
147,37,20.522961354291272,3094.419834525977,271.4702222446639,0,Two Year,Electronic,3,50,1
148,51,96.09907600280938,7328.979786886057,64.69030848335045,3,One Year,Mailed Check,9,38,1
149,44,23.531135494023907,2084.23721363237,187.91060950397048,0,One Year,Electronic,8,43,1
150,24,94.57337827312321,6769.277369760531,49.573056138811964,7,One Year,Bank Transfer,3,63,1
151,59,40.24805601652374,3923.7625228242923,311.47702209169086,7,One Year,Mailed Check,3,53,1
152,32,115.80734801193802,4161.353996154952,223.43709760021946,3,One Year,Bank Transfer,6,22,1
153,52,56.79407513020845,2536.899423766924,388.99248578546843,1,One Year,Electronic,8,50,0
154,62,52.69316163380791,4627.033384890224,110.23524049968492,6,One Year,Bank Transfer,6,18,1
155,58,34.888805033244466,2669.1684505820695,82.28302921466747,3,Two Year,Bank Transfer,0,70,1
156,52,50.560421549021484,410.22837250905326,203.1661154818839,5,One Year,Electronic,0,23,1
157,12,107.66507618282006,2248.788982220413,463.29269160919057,5,One Year,Electronic,3,54,1
158,39,119.63343376272474,150.39444291206635,355.2109075062059,4,Two Year,Mailed Check,3,19,1
159,2,56.83095305068483,7829.002817749168,209.46181239645932,6,Month-to-Month,Mailed Check,0,74,0
160,3,64.86106309545426,7729.402957576005,258.63608487715527,6,Month-to-Month,Credit Card,5,70,1
161,56,92.2070938202737,3221.72685003121,42.10650558854917,0,Month-to-Month,Mailed Check,9,22,1
162,59,108.61957804650746,5854.129749283204,492.28794818805653,2,One Year,Electronic,1,43,1
163,2,79.30443341867841,2831.868177442357,333.20365234745947,4,Two Year,Bank Transfer,4,58,1
164,2,59.15256981778293,5401.635940979211,142.70203423171125,5,Month-to-Month,Bank Transfer,7,68,0
165,54,61.262184084862376,6462.897340063235,292.90419710762217,5,One Year,Mailed Check,2,70,1
166,1,89.56181464968068,7579.374333068702,54.741183034496984,7,One Year,Mailed Check,8,64,1
167,19,20.321826360427867,3261.6769792124087,482.9183344037918,0,Month-to-Month,Electronic,6,30,1
168,2,81.95893374598407,6288.054065352777,87.39249394168297,5,One Year,Bank Transfer,8,29,0
169,53,55.54930104413574,2200.8347599937383,324.01515902760707,5,Two Year,Credit Card,0,22,1
170,44,99.41973312770843,7923.625199969822,122.72723126946522,0,Month-to-Month,Credit Card,4,19,0
171,32,29.299063982313214,303.57983023837403,358.7806913242679,5,One Year,Mailed Check,2,21,1
172,70,78.82022669483905,4867.877571358856,388.4106836201405,2,One Year,Credit Card,3,44,0
173,32,68.09728898861238,5310.097255045484,336.70986445571634,1,Month-to-Month,Electronic,3,67,0
174,68,84.23255259052274,5535.559900885618,307.24973012759625,4,Month-to-Month,Credit Card,6,70,1
175,55,26.485359448296833,1051.0618724338033,446.23454697600584,2,Two Year,Mailed Check,9,27,0
176,56,77.99837874281313,7514.3852894377305,39.31335549487902,2,Month-to-Month,Electronic,7,30,1
177,17,76.14845879595237,1531.3479044956541,165.4573828900976,1,Month-to-Month,Bank Transfer,9,61,1
178,38,76.0660094416171,5019.751885594745,124.14373981542298,7,Month-to-Month,Electronic,4,19,0
179,24,80.34876665964548,1859.1410250723711,494.00698103271077,6,One Year,Mailed Check,9,43,1
180,69,87.64679372263622,2527.00969446804,194.69488983343675,4,One Year,Mailed Check,6,32,0
181,70,100.49889996807697,4417.0224796521825,366.30634962019934,7,One Year,Credit Card,2,63,1
182,11,46.98207201282143,3395.828006660154,342.3625819405023,7,Month-to-Month,Credit Card,2,74,1
183,16,102.5049410180062,1365.7822477143998,106.04061873868886,2,Two Year,Bank Transfer,2,27,0
184,59,69.82556822634535,1450.3975791247015,119.49884010577566,5,Month-to-Month,Bank Transfer,3,39,1
185,70,27.70582791343312,3403.3438264861175,140.64228177651705,7,Month-to-Month,Mailed Check,5,57,1
186,3,25.85509292439792,6082.535528376456,205.56363912968962,1,Month-to-Month,Mailed Check,4,42,0
187,20,53.42383186960608,7193.920710097529,117.1625328252634,6,Month-to-Month,Mailed Check,7,32,1
188,59,98.48969771114676,764.6085318491245,9.825741373423902,4,Two Year,Bank Transfer,4,30,0
189,36,90.76809347409157,3205.5208697192684,439.69652840359777,3,Two Year,Mailed Check,4,25,1
190,19,98.86149646724064,891.9399534107254,482.80491569044204,0,Month-to-Month,Bank Transfer,9,38,1
191,67,71.72690564416094,231.0805969975233,170.78519351578396,5,Two Year,Mailed Check,1,38,0
192,19,64.01989979554907,5327.577592887257,169.25343971273642,1,One Year,Electronic,4,39,1
193,20,34.745252670628396,4859.350591536044,3.5459063871854934,0,Two Year,Electronic,6,63,1
194,71,52.81927536093116,1387.850999137601,340.125344165187,6,Month-to-Month,Mailed Check,1,50,1
195,52,63.40193661738753,1947.1213814352066,412.71994787431436,6,One Year,Electronic,5,62,0
196,33,28.860042967961725,287.2912537916952,73.30415018000159,3,Month-to-Month,Bank Transfer,6,44,0
197,40,42.06119527112112,6696.08292498579,79.83317468357536,7,Two Year,Credit Card,4,57,0
198,39,79.82252940637389,7800.055708783557,395.0416249857189,2,Month-to-Month,Electronic,8,67,1
199,1,93.56631142391899,1170.1303406780573,308.1453741770723,2,One Year,Credit Card,3,39,0
200,11,119.83475113929497,1928.6541887458552,22.430278813858507,4,Month-to-Month,Electronic,9,47,1
201,57,113.31133313435576,6960.435239180779,311.2734952311408,1,Month-to-Month,Bank Transfer,0,26,1
202,50,84.25651995351916,7419.06400385386,154.45886142188303,1,One Year,Electronic,7,62,0
203,23,62.1248053294072,3415.056324173802,184.36257773542297,7,Two Year,Electronic,7,52,1
204,31,83.61773647082327,499.9175309256856,384.8657091484401,6,One Year,Mailed Check,6,35,1
205,42,98.56516180802319,411.19548617327325,405.4675963363053,4,Two Year,Credit Card,7,59,0
206,7,31.833619092338733,4634.203941945182,200.17831341991533,7,Month-to-Month,Credit Card,1,22,0
207,16,60.99048896962883,3203.8713602561143,473.57646800317735,0,One Year,Bank Transfer,2,44,1
208,60,103.98022856356172,326.3541778634707,203.23135897603612,2,Month-to-Month,Bank Transfer,8,74,1
209,2,58.3832951933044,4707.6938992691985,385.91801761505496,2,Month-to-Month,Credit Card,0,23,0
210,1,77.18722712271865,189.29003905327752,241.93863228212953,6,One Year,Mailed Check,7,49,1
211,48,78.77693608621982,6320.2384693792565,448.76616326104204,1,One Year,Mailed Check,7,25,0
212,12,38.447625313363936,2520.8192993566354,453.8806218250893,6,One Year,Credit Card,6,73,1
213,69,56.22354416522884,418.0382237729336,43.70840393554193,7,One Year,Electronic,4,56,0
214,37,53.451128874193216,4747.982545766911,468.24666565511285,1,One Year,Credit Card,3,38,1
215,32,22.61967085320648,3241.706874021132,412.7674207602078,4,Month-to-Month,Electronic,9,35,1
216,9,22.419176389135526,7793.023265521481,395.6553571563334,7,Month-to-Month,Credit Card,9,31,1
217,19,103.16970436757735,4399.169433779247,100.45566984276122,3,One Year,Electronic,9,32,1
218,48,47.30708099728124,2274.3895301923653,402.55960437733245,0,Month-to-Month,Mailed Check,9,59,1
219,3,71.80787662388154,5704.5670306084,425.0663673425184,5,Month-to-Month,Credit Card,5,43,0
220,20,49.8725573588773,2244.7868200874195,144.57516722707547,3,Month-to-Month,Bank Transfer,0,70,0
221,24,114.06792451153404,7243.522002119765,476.13003918116186,7,One Year,Electronic,4,61,1
222,54,45.92967588657737,3060.3035670082736,24.930073199582125,3,Month-to-Month,Mailed Check,3,49,0
223,33,62.96568127389351,4443.961645932021,74.95462662356984,1,One Year,Bank Transfer,3,56,1
224,24,107.27302504846018,499.527520211408,268.7905690257572,1,One Year,Mailed Check,6,45,0
225,72,104.19335667918087,3466.3577798226233,287.89623556115487,1,Month-to-Month,Electronic,8,56,1
226,36,38.61014178462773,6675.67196332186,322.5750416504517,3,One Year,Credit Card,7,60,0
227,38,100.26433097957104,6464.625562370401,8.484564657733229,6,One Year,Mailed Check,7,49,1
228,25,65.81868867378927,1872.1166149428575,480.18338731106513,0,One Year,Credit Card,4,30,0
229,18,68.29688720853552,1886.0246609834453,22.294046367071996,6,One Year,Credit Card,5,32,0
230,66,33.34799724159438,6556.71196648457,71.53097636170119,1,Month-to-Month,Mailed Check,1,35,1
231,54,28.060151375712465,7450.147519337672,7.00725876302849,7,One Year,Mailed Check,2,56,1
232,35,92.79393069737652,853.351278056728,283.4292166470473,7,Month-to-Month,Mailed Check,4,23,1
233,61,69.64611523552998,3655.4632514671794,466.1334419604861,2,Two Year,Credit Card,1,72,0
234,41,63.68507026151796,2765.8888038174086,332.9735830402321,6,Two Year,Bank Transfer,2,28,1
235,33,92.95082286523967,6978.438798113771,411.32873424021363,0,One Year,Electronic,3,49,0
236,68,96.55128989911097,759.8468259721483,6.640601729290041,7,Month-to-Month,Bank Transfer,5,57,0
237,33,35.89081676693536,1767.8949462084954,271.00764923986304,2,Month-to-Month,Credit Card,4,37,1
238,14,81.02251494776414,6044.499866933305,229.78148875276094,0,Month-to-Month,Mailed Check,9,50,1
239,21,33.535408227768556,505.2214069516031,249.48397211039654,1,Month-to-Month,Mailed Check,3,57,0
240,48,95.13750860290457,3991.029507642885,36.10659266759397,6,Month-to-Month,Electronic,1,25,0
241,20,85.69551562671396,3592.645573969788,342.2176805346537,5,One Year,Electronic,4,68,0
242,8,115.6614621083458,2741.7693140111146,251.61020742931723,4,Month-to-Month,Bank Transfer,4,52,1
243,7,26.89580163564212,3217.1212910194977,382.574424930632,1,Two Year,Bank Transfer,6,22,1
244,67,25.70547211512543,4286.53063674884,242.64531703085768,7,Month-to-Month,Electronic,0,52,0
245,17,48.218707469320016,1374.8021312682267,74.69081811321604,3,Two Year,Credit Card,3,64,0
246,33,46.1705683735906,4618.767438440383,324.128477038911,5,Two Year,Bank Transfer,4,31,0
247,48,44.69787990719998,6462.915401469892,86.19318105258311,3,One Year,Mailed Check,7,38,1
248,59,110.62545805210367,6105.271345342257,436.19728167740743,0,One Year,Mailed Check,7,64,1
249,22,44.95461998495061,1315.8092470808122,306.55811953462074,3,Month-to-Month,Credit Card,0,41,1
250,30,47.1949726128631,1279.0708109576437,78.60194177847713,5,One Year,Electronic,4,34,0
251,38,95.93982624179637,2218.5775051848154,481.16902874060344,5,Month-to-Month,Bank Transfer,9,35,1
252,51,64.973984245054,2952.490338094194,259.18273166766033,1,Month-to-Month,Mailed Check,0,51,0
253,54,97.67105569551812,3326.7990931270124,36.4492259358275,2,One Year,Electronic,0,29,0
254,8,26.536615756438522,5469.608012983427,313.4164522075336,1,Month-to-Month,Bank Transfer,1,33,1
255,27,68.75711936733843,547.7754141100997,126.59945350640511,0,One Year,Credit Card,1,21,0
256,27,23.361360018328263,373.91436338592445,401.8467259386512,7,Month-to-Month,Mailed Check,8,42,1
257,21,26.26532034553545,3196.0934472568815,408.9110367830953,3,Month-to-Month,Credit Card,3,51,1
258,30,110.64374533444109,5607.593167890046,489.4736779273309,2,Month-to-Month,Credit Card,2,45,1
259,28,33.92453711175952,1628.1392093562124,250.93476551225186,6,Month-to-Month,Credit Card,0,63,1
260,64,73.24206822752171,5167.885401924388,227.47843986386857,4,Month-to-Month,Bank Transfer,1,28,0
261,69,61.10956026007065,2152.6422897283655,376.7378027232403,5,Month-to-Month,Credit Card,5,30,0
262,61,54.73433262588427,7100.0802596267795,66.23532817096329,2,Month-to-Month,Bank Transfer,8,48,0
263,48,109.98333456872724,7175.950559706271,273.4577568965621,7,Two Year,Bank Transfer,4,42,0
264,19,22.18233967754895,2448.5689138224793,273.1238000654255,6,Month-to-Month,Credit Card,3,56,1
265,4,86.37896861755891,1916.9506563096,44.73656140519361,2,One Year,Credit Card,4,27,0
266,35,116.33944342135504,3349.301379323227,208.9920427534568,1,Month-to-Month,Electronic,8,41,0
267,64,76.0168183461842,2000.199522923175,426.642399283601,6,Two Year,Mailed Check,6,18,1
268,49,113.68224620330918,5411.832362004458,428.07681099733014,4,Month-to-Month,Electronic,7,70,1
269,17,25.225787928602376,6625.911007931456,49.6188324598405,7,Month-to-Month,Mailed Check,3,42,0
270,44,61.87933190741614,5417.427834198615,45.36044137391543,5,One Year,Mailed Check,7,45,0
271,30,46.015779096205115,6612.368533269861,131.34773850096764,7,Month-to-Month,Electronic,5,53,1
272,46,93.08209649807299,3236.238081439046,437.38303127699675,0,One Year,Electronic,4,35,0
273,6,118.12970904972467,1334.9040686000008,64.45129253674948,0,Month-to-Month,Mailed Check,6,23,1
274,37,45.65300624442478,5929.812484440978,359.99840131372315,2,Two Year,Mailed Check,5,19,1
275,24,85.41746014740745,2947.7485906182756,50.58280980655161,6,Month-to-Month,Mailed Check,2,20,1
276,46,39.809763275974014,5403.039519310147,311.5689268739127,2,Month-to-Month,Bank Transfer,4,63,1
277,53,76.53302545716099,2238.087141655949,178.0336495595724,3,One Year,Mailed Check,8,25,0
278,60,66.39324866883362,741.7141149727141,394.4569814829335,4,Month-to-Month,Credit Card,6,48,1
279,63,117.2005329631537,7941.396184353331,116.8452244126818,5,Two Year,Credit Card,3,65,1
280,32,80.85272726964666,1333.9919126517343,319.6009146949799,2,Month-to-Month,Credit Card,6,36,1
281,33,54.950637208681876,7908.5258523115,117.84126728794247,3,One Year,Electronic,4,67,0
282,67,31.409578488793336,7820.511467274933,356.8301415560769,6,Month-to-Month,Electronic,1,23,1
283,18,35.124682873493455,6371.163020873513,436.8390172803744,4,Two Year,Electronic,5,31,0
